时间,仿真时间,真实压高度,仿真气压高度,真实指示空速,仿真指示空速,真实真空速,仿真真空速,真实马赫数,仿真马赫数,真实垂直速度,仿真垂直速度,真实大气静温,仿真大气静温
71.3,71.3,414.650414275071,415.075409514991,198.116563274217,199.116608790698,210.784422932936,203.311057061014,0.622335708342777,0.59859363515254,5.78922114664682,-0.271281849592453,285.454772307212,286.125867156776
71.4,71.4,415.229948256309,462.199648224247,198.323754126508,202.335031695297,211.029169562025,207.089394549022,0.623062427709969,0.609809228199073,5.80145847810124,-0.104837456243887,285.451005336334,286.536681526622
71.5,71.5,415.810706856074,396.829163946033,198.531178609837,197.831478606035,211.274270344138,201.812996737637,0.623790211033794,0.594146602877317,5.81371351720692,0.52427565593326,285.447230405436,287.941617353752
71.6,71.6,416.392691820942,425.931084544128,198.738828027706,200.76399178843,211.519715603118,205.105478641053,0.624519029809305,0.60388844287276,5.82598578015589,0.000885248263600071,285.443447503164,287.114176836151
71.7,71.7,416.975904849073,359.599344407166,198.946693681015,197.699971302763,211.765495649205,201.300635816411,0.62524885549045,0.592537570448167,5.83827478246024,0.53565492980415,285.439656618481,287.916631445246
71.8,71.8,417.560347590145,529.2986841059,199.154766868446,202.578277953266,212.011600779424,208.042857189985,0.625979659491192,0.612793184872884,5.85058003897119,-0.802243297014461,285.435857740664,287.018822365864
71.9,71.9,418.146021645288,375.284424726261,199.363038886857,198.425120465287,212.258021277966,202.198790537754,0.626711413186632,0.595217617746095,5.86290106389828,0.997106434901033,285.432050859306,287.388245766767
72,72,418.732928567024,374.19086705226,199.571501031666,197.639742895148,212.504747416571,201.387373651926,0.627444087914138,0.592833456088413,5.87523737082855,0.165948998947432,285.428235964314,287.850347065611
72.1,72.1,419.321069859203,410.676976764635,199.78014459724,198.877533198602,212.751769454915,203.021882559225,0.628177654974467,0.59773279413605,5.88758847274573,-0.0481862569195138,285.424413045915,287.059626400434
72.2,72.2,419.910446976943,428.75199284309,199.988960877282,200.762011232254,212.999077640989,205.13266073084,0.628912085632894,0.603976109497665,5.89995388204945,0.0383628371274746,285.42058209465,286.887733531238
72.3,72.3,420.501061326574,457.543280339229,200.197941165213,203.049079469991,213.246662211491,207.771346707206,0.629647351120344,0.611796205207884,5.91233311057453,-0.0299496686916284,285.416743101377,286.345334394158
