时间,静压,总压,总温,气压高度,指示空速,真空速,马赫数,垂直速度,大气静温
405,74297.804631087,106021.467723525,304.77056534898,2541.08628407063,216.474284455549,258.042260651806,0.781006202747356,8.15211303259031,271.632939153541
405.1,74290.1891086359,105991.943092728,304.745130837019,2541.90129933675,216.406255189644,257.963845799612,0.78077648134217,8.14819228998059,271.627641554311
405.2,74282.5779163721,105962.065069031,304.719320316703,2542.71591878175,216.337085045587,257.88393219979,0.780542215546153,8.14419660998949,271.622346527919
405.3,74274.9711232685,105931.834949889,304.693135003863,2543.53013491977,216.266776346237,257.802523007192,0.780303414708628,8.14012615035961,271.617054123021
405.4,74267.3687981266,105901.254051916,304.666576135034,2544.34394028088,216.195331454813,257.719621435715,0.780060088358356,8.13598107178573,271.611764388174
405.5,74259.7710095741,105870.323710769,304.639644967356,2545.15732741136,216.122752774844,257.635230758169,0.77981224620316,8.13176153790845,271.606477371826
405.6,74252.1778260618,105839.045281035,304.612342778461,2545.97028887402,216.049042750117,257.549354306155,0.779559898129556,8.12746771530775,271.601193122319
405.7,74244.5893158613,105807.420136113,304.584670866367,2546.78281724846,215.974203864618,257.461995469928,0.779303054202365,8.12309977349638,271.595911687885
405.8,74237.0055470623,105775.449668094,304.556630549364,2547.59490513138,215.898238642485,257.373157698264,0.779041724664325,8.11865788491322,271.590633116646
405.9,74229.4265875698,105743.135287644,304.528223165902,2548.40654513688,215.821149647942,257.282844498328,0.778775919935693,8.11414222491642,271.58535745661
406,74221.8525051018,105710.478423882,304.499450074477,2549.21772989671,215.74293948525,257.19105943553,0.778505650613838,8.1095529717765,271.580084755671
406.1,74214.2833671863,105677.480524257,304.470312653515,2550.02845206063,215.663610798646,257.097806133386,0.778230927472832,8.10489030666932,271.574815061606
406.2,74206.719241159,105644.143054423,304.44081230125,2550.83870429665,215.583166272284,257.003088273378,0.777951761463033,8.10015441366891,271.569548422072
406.3,74199.1601941606,105610.467498115,304.410950435611,2551.64847929132,215.501608630174,256.906909594805,0.777668163710653,8.09534547974023,271.564284884606
406.4,74191.606293134,105576.455357021,304.380728494093,2552.45776975004,215.418940636128,256.809273894635,0.777380145517334,8.09046369473174,271.559024496625
406.5,74184.0576048223,105542.108150651,304.350147933641,2553.26656839735,215.335165093689,256.710185027359,0.777087718359699,8.08550925136796,271.553767305417
406.6,74176.5141957655,105507.427416213,304.319210230521,2554.07486797718,215.250284846076,256.609646904837,0.776790893888913,8.08048234524183,271.548513358148
406.7,74168.9761322986,105472.414708475,304.287916880197,2554.88266125318,215.164302776117,256.50766349614,0.776489683930225,8.075383174807,271.543262701854
406.8,74161.4434805484,105437.071599637,304.2562693972,2555.68994100899,215.077221806185,256.4042388274,0.776184100482511,8.07021194136999,271.538015383442
406.9,74153.9163064318,105401.399679195,304.224269315002,2556.49670004851,214.989044898136,256.299376981645,0.775874155717801,8.06496884908223,271.532771449685
407,74146.3946756522,105365.400553805,304.191918185883,2557.30293119621,214.899775053237,256.193082098641,0.775559861980814,8.05965410493204,271.527530947225
407.1,74138.8786536979,105329.075847148,304.159217580799,2558.1086272974,214.809415312105,256.085358374728,0.775241231788464,8.0542679187364,271.522293922567
407.2,74131.3683058392,105292.42719979,304.126169089252,2558.91378121849,214.717968754634,255.976210062655,0.774918277829386,8.04881050313274,271.51706042208
407.3,74123.8636971258,105255.456269044,304.092774319148,2559.71838584733,214.625438499929,255.865641471409,0.77459101296343,8.04328207357047,271.511830491992
407.4,74116.3648923844,105218.164728829,304.059034896666,2560.52243409342,214.531827706234,255.753656966051,0.774259450221165,8.03768284830253,271.506604178393
407.5,74108.8719562165,105180.554269529,304.024952466117,2561.32591888825,214.437139570862,255.640260967535,0.773923602803369,8.03201304837673,271.501381527226
407.6,74101.3849529954,105142.626597846,303.990528689806,2562.12883318555,214.341377330123,255.525457952542,0.773583484080513,8.02627289762709,271.496162584294
407.7,74093.9039468642,105104.383436661,303.955765247891,2562.93116996157,214.244544259249,255.409252453298,0.773239107592242,8.02046262266491,271.49094739525
407.8,74086.4290017328,105065.826524885,303.920663838239,2563.73292221535,214.146643672326,255.291649057398,0.772890487046843,8.01458245286991,271.4857360056
407.9,74078.9601812762,105026.957617313,303.885226176281,2564.53408296901,214.047678922209,255.172652407622,0.772537636320709,8.00863262038111,271.480528460701
408,74071.4975489315,104987.778484478,303.849453994875,2565.33464526803,213.947653400454,255.052267201755,0.772180569457801,8.00261336008773,271.475324805758
408.1,74064.0411678954,104948.290912498,303.813349044147,2566.13460218152,213.84657053724,254.930498192397,0.771819300669095,7.99652490961984,271.47012508582
408.2,74056.5911011222,104908.496702927,303.776913091354,2566.93394680246,213.744433801287,254.807350186781,0.771453844332029,7.99036750933905,271.464929345784
408.3,74049.1474113214,104868.397672609,303.74014792073,2567.73267224805,213.641246699778,254.68282804658,0.77108421498994,7.98414140232898,271.459737630388
408.4,74041.7101609547,104827.995653516,303.703055333337,2568.53077165988,213.537012778283,254.556936687713,0.770710427351494,7.97784683438567,271.454549984211
408.5,74034.2794122342,104787.292492603,303.66563714691,2569.3282382043,213.431735620673,254.429681080158,0.770332496290113,7.97148405400789,271.449366451672
408.6,74026.85522712,104746.29005165,303.62789519571,2570.12506507262,213.325418849038,254.301066247746,0.76995043684339,7.9650533123873,271.444187077028
408.7,74019.4376673172,104704.990207104,303.589831330366,2570.92124548141,213.218066123606,254.171097267972,0.769564264212505,7.95855486339859,271.439011904371
408.8,74012.0267942746,104663.394849928,303.551447417719,2571.71677267276,213.109681142657,254.039779271788,0.769173993761627,7.95198896358938,271.433840977627
408.9,74004.6226691815,104621.505885437,303.512745340669,2572.51163991455,213.000267642439,253.907117443403,0.76877964101731,7.94535587217016,271.428674340555
409,73997.2253529654,104579.325233146,303.473726998013,2573.30584050071,212.889829397079,253.773117020081,0.768381221667891,7.93865585100403,271.423512036745
409.1,73989.8349062904,104536.854826605,303.43439430429,2574.09936775149,212.778370218495,253.637783291927,0.767978751562872,7.93188916459634,271.418354109615
